CloudType,percent,count
Cumulus,26.7,24
Nimbostratus,21.1,19
Stratocumulus,16.7,15
Lacunosus,15.6,14
Cirrocumulus,6.7,6
Altocumulus,5.6,5
Cirrus,2.2,2
Undulatus,2.2,2
Corona,1.1,1
Pileus,1.1,1
Horseshoe vortex,1.1,1
