CloudType,percent,count
Cirrocumulus,29.2,21
Cirrus,27.8,20
Cumulus,25.0,18
Contrail,6.9,5
Lacunosus,4.2,3
Undulatus,4.2,3
Fibratus,1.4,1
Vigra,1.4,1
