CloudType,percent,count
Stratocumulus,30.2,52
Lacunosus,21.5,37
Cumulus,20.3,35
Undulatus,7.6,13
Cirrocumulus,6.4,11
Nimbostratus,5.2,9
Fibratus,1.7,3
Mamma,1.2,2
Cirrostratus,1.2,2
Cirrus,1.2,2
Cavum,0.6,1
Altostratus,0.6,1
Horseshoe vortex,0.6,1
Iridescence,0.6,1
Volutus,0.6,1
Altocumulus,0.6,1
