CloudType,percent,count
Cirrus,28.7,27
Cirrocumulus,22.3,21
Cirrostratus,12.8,12
Altocumulus,8.5,8
Lacunosus,5.3,5
Stratocumulus,4.3,4
Fibratus,4.3,4
Contrail,4.3,4
Undulatus,3.2,3
Cumulus,2.1,2
Pileus,1.1,1
Cavum,1.1,1
Altostratus,1.1,1
22-degree halo,1.1,1
