CloudType,percent,count
Cirrocumulus,21.1,11
Undulatus,17.3,9
Altocumulus,17.3,9
Stratocumulus,15.4,8
Cumulus,11.5,6
Lacunosus,11.5,6
Cirrus,3.8,2
Vigra,1.9,1
